-7.544929999999999914e+00 2.119280000000000000e+08 9.983000000000000000e+03 3.079999999999999960e-01
-7.483130000000000059e+00 2.118400000000000000e+08 9.735000000000000000e+03 3.069999999999999951e-01
-7.417679999999999829e+00 2.117290000000000000e+08 9.587000000000000000e+03 3.059999999999999942e-01
-7.328859999999999708e+00 2.115430000000000000e+08 9.458000000000000000e+03 3.049999999999999933e-01
-7.094229999999999592e+00 2.108100000000000000e+08 9.358000000000000000e+03 3.089999999999999969e-01
-6.837010000000000254e+00 2.094100000000000000e+08 9.228000000000000000e+03 3.180000000000000049e-01
-6.521930000000000227e+00 2.062130000000000000e+08 8.988000000000000000e+03 3.380000000000000226e-01
-6.260919999999999597e+00 2.014280000000000000e+08 8.635000000000000000e+03 3.719999999999999973e-01
-6.073070000000000412e+00 1.960530000000000000e+08 8.273000000000000000e+03 4.179999999999999827e-01
-5.931829999999999714e+00 1.904840000000000000e+08 7.970000000000000000e+03 4.779999999999999805e-01
-5.833420000000000272e+00 1.856210000000000000e+08 7.780000000000000000e+03 5.420000000000000373e-01
-5.729079999999999728e+00 1.794570000000000000e+08 7.600000000000000000e+03 6.450000000000000178e-01
-5.616970000000000240e+00 1.715310000000000000e+08 7.410000000000000000e+03 8.269999999999999574e-01
-5.508020000000000138e+00 1.623330000000000000e+08 7.220000000000000000e+03 1.139999999999999902e+00
-5.421120000000000161e+00 1.538970000000000000e+08 7.080000000000000000e+03 1.570000000000000062e+00
-5.325789999999999580e+00 1.437530000000000000e+08 6.910000000000000000e+03 2.419999999999999929e+00
-5.232910000000000394e+00 1.334410000000000000e+08 6.740000000000000000e+03 3.959999999999999964e+00
-5.150599999999999845e+00 1.242790000000000000e+08 6.570000000000000000e+03 6.370000000000000107e+00
-5.062739999999999796e+00 1.147430000000000000e+08 6.370000000000000000e+03 1.100000000000000000e+01
-4.972330000000000361e+00 1.057090000000000000e+08 6.180000000000000000e+03 1.960000000000000142e+01
-4.870169999999999888e+00 9.672980000000000000e+07 5.950000000000000000e+03 3.610000000000000142e+01
-4.783129999999999882e+00 8.995770000000000000e+07 5.760000000000000000e+03 5.770000000000000284e+01
-4.699329999999999785e+00 8.411500000000000000e+07 5.570000000000000000e+03 8.770000000000000284e+01
-4.621990000000000265e+00 7.921800000000000000e+07 5.380000000000000000e+03 1.270000000000000000e+02
-4.535989999999999966e+00 7.433370000000000000e+07 5.160000000000000000e+03 1.860000000000000000e+02
-4.434070000000000178e+00 6.946630000000000000e+07 4.900000000000000000e+03 2.800000000000000000e+02
-4.275800000000000267e+00 6.415270000000000000e+07 4.680000000000000000e+03 4.520000000000000000e+02
-4.060150000000000148e+00 5.929390000000000000e+07 4.560000000000000000e+03 7.090000000000000000e+02
-3.836910000000000043e+00 5.536460000000000000e+07 4.520000000000000000e+03 1.020000000000000000e+03
-3.612890000000000157e+00 5.191190000000000000e+07 4.500000000000000000e+03 1.420000000000000000e+03
-3.372180000000000177e+00 4.845740000000000000e+07 4.510000000000000000e+03 1.970000000000000000e+03
-3.087029999999999941e+00 4.452320000000000000e+07 4.540000000000000000e+03 2.850000000000000000e+03
-2.727059999999999818e+00 3.964470000000000000e+07 4.610000000000000000e+03 4.520000000000000000e+03
-2.372599999999999820e+00 3.476110000000000000e+07 4.690000000000000000e+03 7.110000000000000000e+03
-2.024709999999999788e+00 2.987200000000000000e+07 4.780000000000000000e+03 1.110000000000000000e+04
-1.684080000000000021e+00 2.497670000000000000e+07 4.880000000000000000e+03 1.720000000000000000e+04
-1.351210000000000022e+00 2.007470000000000000e+07 4.990000000000000000e+03 2.630000000000000000e+04
-1.190139999999999976e+00 1.758450000000000000e+07 5.060000000000000000e+03 3.250000000000000000e+04
-1.031179999999999986e+00 1.509180000000000000e+07 5.150000000000000000e+03 3.980000000000000000e+04
-8.750200000000000200e-01 1.259820000000000000e+07 5.270000000000000000e+03 4.860000000000000000e+04
-7.208700000000000108e-01 1.010380000000000000e+07 5.410000000000000000e+03 5.910000000000000000e+04
-5.659999999999999476e-01 7.608460000000000000e+06 5.580000000000000000e+03 7.130000000000000000e+04
-4.049800000000000066e-01 5.112210000000000000e+06 5.790000000000000000e+03 8.530000000000000000e+04
-3.014200000000000212e-01 3.611940000000000000e+06 5.980000000000000000e+03 9.470000000000000000e+04
-1.870300000000000018e-01 2.111710000000000000e+06 6.180000000000000000e+03 1.050000000000000000e+05
-1.036600000000000021e-01 1.111250000000000000e+06 6.340000000000000000e+03 1.120000000000000000e+05
-1.231999999999999935e-02 1.108320000000000000e+05 6.520000000000000000e+03 1.190000000000000000e+05
8.798000000000000265e-02 -8.895680000000000000e+05 6.720000000000000000e+03 1.270000000000000000e+05
2.001999999999999891e-01 -1.889980000000000000e+06 6.980000000000000000e+03 1.340000000000000000e+05
3.270399999999999974e-01 -2.890380000000000000e+06 7.280000000000000000e+03 1.420000000000000000e+05
4.666699999999999737e-01 -3.890770000000000000e+06 7.590000000000000000e+03 1.500000000000000000e+05
6.146200000000000552e-01 -4.891100000000000000e+06 7.900000000000000000e+03 1.580000000000000000e+05
7.673999999999999710e-01 -5.891420000000000000e+06 8.220000000000000000e+03 1.660000000000000000e+05
9.222099999999999742e-01 -6.891730000000000000e+06 8.540000000000000000e+03 1.740000000000000000e+05
1.077110000000000012e+00 -7.892030000000000000e+06 8.860000000000000000e+03 1.820000000000000000e+05
1.228290000000000104e+00 -8.892340000000000000e+06 9.140000000000000000e+03 1.910000000000000000e+05
1.372819999999999929e+00 -9.892670000000000000e+06 9.400000000000000000e+03 2.000000000000000000e+05
